Decade,Century,Tried,Deaths,City_old,City,Region,Country,Longitude,Latitude,Part of Europe
1590,1500,1,0,Bad Griesbach,Mittelfranken,Bayern,Germany,13.1966,48.4502,Western Europe
1590,1500,1,0,Traunstein,Mittelfranken,Bayern,Germany,12.6384,47.8678,Western Europe
1590,1500,1,0,Apfeldorf,Mittelfranken,Bayern,Germany,10.9333,47.9,Western Europe
1590,1500,2,0,Eggenfelden,Mittelfranken,Bayern,Germany,12.7575,48.4051,Western Europe
1590,1500,1,0,Dachau,Mittelfranken,Bayern,Germany,11.4339,48.263,Western Europe
1590,1500,1,0,Neustadt an der Donau,Mittelfranken,Bayern,Germany,11.7671,48.803,Western Europe
1590,1500,1,0,Kelheim,Mittelfranken,Bayern,Germany,11.8866,48.9184,Western Europe
1590,1500,2,2,Freising,Mittelfranken,Bayern,Germany,11.7412,48.4029,Western Europe
1590,1500,3,3,Freising,Mittelfranken,Bayern,Germany,11.7412,48.4029,Western Europe
1590,1500,1,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1590,1500,5,5,Ingolstadt,Mittelfranken,Bayern,Germany,11.4258,48.7665,Western Europe
1590,1500,1,0,Schongau,Mittelfranken,Bayern,Germany,10.8943,47.815,Western Europe
1590,1500,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1590,1500,10,9,Dillingen an der Donau,Mittelfranken,Bayern,Germany,10.494,48.5791,Western Europe
1590,1500,2,1,Grossaitingen,Mittelfranken,Bayern,Germany,10.7777,48.2281,Western Europe
1590,1500,1,0,Zusmarshausen,Mittelfranken,Bayern,Germany,10.5995,48.3983,Western Europe
1590,1500,6,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1590,1500,13,13,Kaufbeuren,Mittelfranken,Bayern,Germany,10.626,47.883,Western Europe
1590,1500,1,0,Pfronten,Mittelfranken,Bayern,Germany,10.55,47.5833,Western Europe
1590,1500,11,11,Schwabmunchen,Mittelfranken,Bayern,Germany,10.7557,48.18,Western Europe
1590,1500,2,0,Wiesent,Mittelfranken,Bayern,Germany,12.3769,49.009,Western Europe
1590,1500,1,0,Wallerstein,Mittelfranken,Bayern,Germany,10.4738,48.8887,Western Europe
1590,1500,27,27,Marktoberdorf,Mittelfranken,Bayern,Germany,10.6158,47.7785,Western Europe
1590,1500,1,0,Nesselwang,Mittelfranken,Bayern,Germany,10.5037,47.6233,Western Europe
1590,1500,1,0,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
1590,1500,1,0,Vohburg,Mittelfranken,Bayern,Germany,11.6227,48.766,Western Europe
1590,1500,1,0,Lindau,Mittelfranken,Bayern,Germany,9.67893,47.5798,Western Europe
1590,1500,8,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1590,1500,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1590,1500,9,9,Rettenberg,Mittelfranken,Bayern,Germany,10.2922,47.5743,Western Europe
1590,1500,2,2,Durrwangen,Mittelfranken,Bayern,Germany,10.385,49.1075,Western Europe
